split,condition,method,controller,res,cond_res,subset,via,n,f1,mse,rmse,miou,sr,fid,pfid,musiq,niqe,maniqa,qalign,deqa,unipercept_iaa,unipercept_iqa,vqr1,psnr,ssim,lpips,dists
multigen5k,canny,pid_k24,omini,2048,512,subset500,,500,0.668561199378948,,,,,,,72.93345515441895,3.2418271457011336,0.4182464698851108,4.52028125,,,,,,,,
multigen5k,depth,pid_k24,omini,2048,512,,,5000,,676.3674911852254,23.245234926826768,,,,,72.6803643409729,3.3456102364686973,0.40930868990421293,4.5185455078125,,,,,,,,
multigen5k,depth,pid_k24,omini,2048,512,subset500,,500,,653.0519373455336,22.667885812383133,,,,,72.68006091308594,3.3555038503054755,0.40756607925891875,4.555765625,,,,,,,,
multigen5k,canny,pid_k24,omini,512,512,,,5000,0.7185463331257073,,,,,18.086423080828013,19.33241713210367,72.97815528411866,4.241604690779058,0.6496866149663925,4.455065625,4.146673828125,77.1452,75.5414,4.593154,11.93247231144905,0.3977666092042907,0.5214918306604027,0.2666653501868248
multigen5k,canny,pid_k24,omini,512,512,subset500,,500,0.7160499084537754,,,,,79.5349129630938,83.95729164097281,73.06831680297852,4.24578790476875,0.64729152739048,4.4744296875,,,,,11.979142181396485,0.40420836968688967,0.520522499397397,0.26509085738658905
multigen5k,depth,pid_k24,omini,512,512,,,5000,,698.2194701091912,23.625546701772354,,,20.00382427967827,20.39093863637396,73.063673777771,4.100675256225794,0.6233556920439005,4.466087109375,,,,,11.300798315095902,0.3520340166268307,0.6125527619719505,0.29076121541261674
multigen5k,depth,pid_k24,omini,512,512,subset500,,500,,674.3566758260989,23.040641931108755,,,85.76738771925744,89.04545143669509,73.08645796966553,4.108876300441707,0.6185461763739586,4.50065234375,,,,,11.361752471923829,0.3598792426157677,0.612079988181591,0.29021662831306455
multigen5k,canny,pid_k28,omini,2048,2048,,,5000,0.5474010470969278,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k28,omini,2048,2048,subset500,,500,0.5442559788461303,,,,,,,,,,,,,,,,,,
multigen5k,canny,pid_k28,omini,2048,512,,,5000,0.7327857039030227,,,,,,,71.60994336776733,3.673944641097772,0.373884675270319,4.3662234375,3.9947150390625,73.30875,72.517725,4.482278,,,,
multigen5k,canny,pid_k28,omini,2048,512,subset500,,500,0.7333458292473759,,,,,,,71.6381895904541,3.6953314202649015,0.3744598563015461,4.39946875,,,,,,,,
multigen5k,depth,pid_k28,omini,2048,512,,,5000,,671.4291370924803,23.076629175467094,,,,,71.47062949371337,3.775675492300684,0.36745844187438487,4.448159765625,,,,,,,,
multigen5k,depth,pid_k28,omini,2048,512,subset500,,500,,648.5644137634577,22.50668770934503,,,,,71.46470206451416,3.8186340716214446,0.36795997160673144,4.48371484375,,,,,,,,
multigen5k,canny,pid_k28,omini,512,512,,,5000,0.7852398149569901,,,,,16.062807175736452,17.594396596882177,72.27333117752075,4.883679829240876,0.6220682052791119,4.34147578125,4.0139818359375,73.0907,71.614425,4.4487,11.998678128957748,0.42798236488829117,0.503983698104322,0.2713693049073219
multigen5k,canny,pid_k28,omini,512,512,subset500,,500,0.7833978675139972,,,,,75.54644050146459,79.96581154005054,72.36285413360596,4.8562452378230665,0.6206663710474968,4.37328515625,,,,,12.044885577201843,0.4347184753725923,0.5025880438238383,0.2692509324550629
multigen5k,depth,pid_k28,omini,512,512,,,5000,,695.9260217352944,23.500599293640665,,,19.633731790327374,20.402468738658172,72.5029819229126,4.693572443707562,0.5946604284644127,4.401973828125,,,,,11.328699954986572,0.3669463502272527,0.6164508143901825,0.29935875186920163
multigen5k,depth,pid_k28,omini,512,512,subset500,,500,,670.6344603580858,22.895753792309026,,,86.04184919242402,88.9362491870362,72.5553916015625,4.6927028482729005,0.5925426971316338,4.43645703125,,,,,11.39019235420227,0.37517601659204936,0.6150746910870075,0.2986822555065155
multigen5k,canny,pidt_k16,omini,2048,2048,subset500,,500,0.3666596355260098,,,,,,,,,,,,,,,,,,
multigen5k,canny,pidt_k16,omini,2048,512,subset500,,500,0.5401392861155405,,,,,,,72.32716536712647,4.202231632837172,0.35371352031826975,4.56266796875,,,,,,,,
multigen5k,depth,pidt_k16,omini,2048,512,subset500,,500,,997.0830566264207,29.115766817105012,,,,,72.08599935150147,4.339190052322132,0.3517027317881584,4.58100390625,,,,,,,,
multigen5k,canny,pidt_k16,omini,512,512,subset500,,500,0.5283961277467181,,,,,83.92939828779743,86.7271213393044,73.04221982574462,4.088004845901148,0.5947678210139274,4.498390625,,,,,11.871068990707398,0.3758021261919449,0.5818751945197582,0.27727409231662753
multigen5k,depth,pidt_k16,omini,512,512,subset500,,500,,1030.5485610305957,29.57349319038519,,,86.68387551849628,89.0201436759724,73.09707313537598,4.070734317045657,0.5791929508447647,4.5064140625,,,,,11.398176836967469,0.3554935200596463,0.6334043484330177,0.2923984804153442
multigen5k,canny,pidt_k24,omini,2048,2048,subset500,,500,0.458047413765549,,,,,,,,,,,,,,,,,,
multigen5k,canny,pidt_k24,omini,2048,512,subset500,,500,0.6746900450706489,,,,,,,71.80427864074707,4.485302397890551,0.3476956124007702,4.44472265625,,,,,,,,
multigen5k,depth,pidt_k24,omini,2048,512,subset500,,500,,682.5514966497733,23.23267818288954,,,,,71.4626004562378,4.687881254388031,0.34293180507421495,4.489890625,,,,,,,,
multigen5k,canny,pidt_k24,omini,512,512,subset500,,500,0.694782515451524,,,,,77.42105713989213,81.30118064070308,72.46427639770508,4.117688774894839,0.5959796872735024,4.39181640625,,,,,12.063557795524597,0.42132901555813224,0.5088754709362984,0.26323072326183317
multigen5k,depth,pidt_k24,omini,512,512,subset500,,500,,706.0141745869884,23.62251829550873,,,85.32279918732706,87.33461383070107,72.53981753540039,4.089804145392673,0.5655764141976833,4.41720703125,,,,,11.448413724899291,0.3747512323094086,0.609471040725708,0.2901458604335785
